UBA6
CNOT1
MYO1C
AIP
CLIC1
KPNA3
PDXK
COPE
AP3D1
ABLIM1
PDCD5
SCAMP3
IKBKB
PPP1R12A
GAK
XPO1
PFAS
OGT
PJA2
PHGDH
ZW10
SART1
MAP3K7
LAMTOR5
NARS
NRD1
SPAG9
KIF1B
MGEA5
BUB1B
PLIN3
PRMT3
UGDH
CPNE3
HIP1R
CNOT3
VPS4B
DCTN3
TRIO
GLRX3
URI1
USP19
WDR47
SEC31A
IKBKAP
TNKS
FGFR1OP
LDHA
ALDOA
ANXA1
TK1
ENO1
TPM3
GPX1
ANXA2;ANXA2P2
PFN1
PFKM
HSP90AB1
ANXA5
HSPA1B;HSPA1A
HLA-C
PYGB
MTHFD1
HARS
SLC25A6
IMPDH2
ACTN1
RNH1
EEF2
TPT1
PKM
IDE
NME1
PHKG2
CAPN2
CTPS1
PFKL
PGAM1;PGAM2
HK1
SRM
RAB5A
ATP6V1B2
GART
PAICS
UBA1
CBL
AHCY
CFL1
RRM1
CDK2
RPS12
TARS
VARS
YWHAQ
MAP4
TPP2
SHC1
EEF1D
PRDX6
RPL12
PEBP1
PPP2R1A
NMT1
CLIP1
STIP1
PRDX2
RPL9
HSPA4
COPB2
ADD1
CPOX
GNL1
CAP2
TXLNA
STAT3
USP8
EIF2D
NAA10
CSK
GARS
EPS15
RANBP1
PSMC4
RANGAP1
BRCC3
RPL5
RPS9
MAP1B
GCLM
CCT5
PITPNB
PXN
CCT3
SRP9
NT5C2
MRE11A
GDI2
ST13;ST13P5;ST13P4
PEX5
RPL14
CCT8
CCT4
ANXA11
SSR4
PGD
KPNA1
POLR2H
KIF11
SMS
PPP5C
RABGGTB
COPB1
COPA
CLNS1A
BCAT1
RAD23B
VCP
NPEPPS
EIF6
MTPN
DSTN
ACTR3
ARF1;ARF3
ABCE1
RPS15A
RPS23
PPP2R2A
DYNLL1
UBE2L3
EEF1A1;EEF1A1P5
CCT2
GSTO1
MAP1A
AMPD2
CAP1
PFKP
MAP2K1
REL
UBE3A
PTPN12
PTK2
PPAT
GFPT1
PSME1
PRDX1
SCRN1
TRAF2
STK4
TRIM32
PSMD2
PDAP1
SQSTM1
DCTN2
FHL1
FHL3
ARHGEF7
UBAP2L
GIT2
FHL2
TRIM25
FLNC
NBR1
GAPVD1
R3HDM1
EEA1
PPA1
PCBP1
RSU1
CNN3
TRIP13
JMJD1C
TRIP6
MAPRE1
ZYX
PPP2R5E
CDC37
DPYSL2
AAK1
WDR81
PPP6R3
ARHGAP21
UBAP2
TBC1D9B
CRYBG3
CIAPIN1
SMYD5
LAMTOR1
TWF2
PTRF
UBE2R2
CYFIP1
ZFYVE16
UBE2Q1
TBC1D1
SMG6
TAX1BP1
CAND1
HOOK3
CARM1
CBWD2;CBWD1;CBWD5;CBWD3;CBWD6
TRIM59
NHLRC2
SERBP1
DAGLB
RNF214
FBXO30
TBC1D15
ALMS1
NEK9
SMCR8
PPP4R1
PDCD6IP
CHAC2
SKA2
PSMF1
TSC1
HSPH1
LARP4B
ANKS1A
TFG
STAM
KIFAP3
LPP
SYAP1
AP2M1
KIAA1279
OTUB1
LTV1
PDLIM5
METTL2A
CNDP2
ARAP1
INPP4A
PASK
PARK7
TTC1
DNAJC7
DOK1
TSG101
SH3GL1
PDCD2L
TRIM56
PI4K2A
SORBS1
NAA15
EIF2A
RBCK1
ASPSCR1
UCK2
TNKS1BP1
UBE2O
UBA5
KLC2
SLK
BOLA2
WNK1
RNPEP
RNF41
EPS8L2
RPAP3
CACYBP
GLOD4
WDR6
VTA1
RIC8A
SH3GLB2
EIF2B3
ATG3
OLA1
TXLNG
FAM49B
PIH1D1
MIOS
TAB2
CNOT2
CALCOCO1
CTTNBP2NL
TJP2
FTSJ1
LIMD1
TBK1
APPL1
PARP4
ASAP1
CORO1C
FAF1
USP24
DRG1
AKAP2
CARHSP1
GIT1
SUGT1
MEMO1
USP15
TRAF6
PPME1
IKBKG
SLC30A1
WASF2
